,std
RSI,0.17126137850093642
STOCASTIC_K,0.2860491868113448
STOCASTIC_D,0.24254131257707173
Bollinger,0.3320941085563182
MACD,23524.72306875679
MACD_SIGNAL,22585.904500994624
MACD_cat,0.12995684217566525
Change+,0.49713973869461286
RSI_delta,0.07246673907901825
D_delta,0.06202131058815972
sto_diff,0.12382473934743023
B_delta,0.1765915206423365
MACD_delta,2220.5622244845654
MA5,205104.21886738864
MA20,203288.67182935096
MA5_adj,0.03710061285560266
MA20_adj,0.08349156782270391
MA_diff,0.065849715440094
